TRANSACTION_DATE,DAY_NAME,DAY_CLASSIFICATION,MONTH_NAME,TRANSACTION_TIME,TIME_CLASSIFICATION,HOUR_OF_DAY,STORE_LOCATION,PRODUCT_CATEGORY,PRODUCT_DETAIL,PRODUCT_TYPE,NUMBER_OF_SALES,REVENUE
1/1/2023,Sun,Weekend,Jan,17:27.0,Morning,8,Hell's Kitchen,Coffee,Ethiopia Lg,Gourmet brewed coffee,1,7
1/1/2023,Sun,Weekend,Jan,52:03.0,Morning,8,Hell's Kitchen,Coffee,Latte,Barista Espresso,1,3.75
1/1/2023,Sun,Weekend,Jan,47:40.0,Morning,9,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,7.5
1/1/2023,Sun,Weekend,Jan,49:51.0,Morning,10,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Lg,Hot chocolate,1,9.5
1/1/2023,Sun,Weekend,Jan,56:14.0,Morning,10,Lower Manhattan,Bakery,Chocolate Chip Biscotti,Biscotti,1,3.5
1/1/2023,Sun,Weekend,Jan,28:15.0,Morning,11,Hell's Kitchen,Tea,Peppermint Rg,Brewed herbal tea,1,5
1/1/2023,Sun,Weekend,Jan,39:34.0,Morning,7,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg,Hot chocolate,1,7
1/1/2023,Sun,Weekend,Jan,41:57.0,Morning,8,Hell's Kitchen,Coffee,Cappuccino,Barista Espresso,1,7.5
1/1/2023,Sun,Weekend,Jan,14:17.0,Morning,9,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,2.5
1/1/2023,Sun,Weekend,Jan,34:17.0,Morning,9,Hell's Kitchen,Coffee,Cappuccino Lg,Barista Espresso,1,8.5
1/1/2023,Sun,Weekend,Jan,56:30.0,Morning,9,Hell's Kitchen,Coffee,Our Old Time Diner Blend Sm,Drip coffee,1,2
1/1/2023,Sun,Weekend,Jan,16:30.0,Morning,10,Lower Manhattan,Coffee,Ethiopia Rg,Gourmet brewed coffee,1,6
1/1/2023,Sun,Weekend,Jan,08:59.0,Morning,11,Hell's Kitchen,Tea,Earl Grey Lg,Brewed Black tea,1,6
1/1/2023,Sun,Weekend,Jan,10:58.0,Morning,11,Astoria,Tea,Serenity Green Tea Rg,Brewed Green tea,1,2.5
1/1/2023,Sun,Weekend,Jan,23:43.0,Morning,11,Lower Manhattan,Bakery,Oatmeal Scone,Scone,1,3
1/1/2023,Sun,Weekend,Jan,47:13.0,Morning,11,Astoria,Coffee,Columbian Medium Roast Lg,Gourmet brewed coffee,1,3
1/1/2023,Sun,Weekend,Jan,49:42.0,Morning,11,Hell's Kitchen,Tea,Morning Sunrise Chai Rg,Brewed Chai tea,1,2.5
1/1/2023,Sun,Weekend,Jan,13:07.0,Afternoon,12,Lower Manhattan,Coffee,Latte,Barista Espresso,1,7.5
1/1/2023,Sun,Weekend,Jan,30:46.0,Afternoon,12,Astoria,Tea,Peppermint Rg,Brewed herbal tea,1,5
1/1/2023,Sun,Weekend,Jan,36:57.0,Afternoon,12,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,3.75
1/1/2023,Sun,Weekend,Jan,50:15.0,Afternoon,12,Astoria,Drinking Chocolate,Dark chocolate Lg,Hot chocolate,1,4.5
1/1/2023,Sun,Weekend,Jan,55:27.0,Afternoon,12,Lower Manhattan,Bakery,Croissant,Pastry,1,3.5
1/1/2023,Sun,Weekend,Jan,24:29.0,Afternoon,13,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg,Hot chocolate,1,7.5
1/1/2023,Sun,Weekend,Jan,54:46.0,Morning,9,Lower Manhattan,Coffee,Our Old Time Diner Blend Rg,Drip coffee,1,2.5
1/1/2023,Sun,Weekend,Jan,55:16.0,Morning,9,Lower Manhattan,Tea,Lemon Grass Lg,Brewed herbal tea,1,6
